                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3034,                 2.5747,                 2.6942,                 1.9683,                0.00744,                0.29167,                 0.0041,                0.00098,                0.00528,                0.20833,                0.00193,                0.00059,                 3.3956,                 9.0364,                 24.696,                  3.191,              0.0013266,              0.0013266,              0.0013266
                     36,                 2.4128,                 2.6454,                 2.7191,                 1.9614,                0.04006,                0.20833,                0.01874,                0.00462,                0.04006,                0.20833,                0.01798,                0.00429,                 3.2798,                 4.5993,                 11.295,                 2.8748,              0.0013068,              0.0013068,              0.0013068
                     37,                 2.2687,                 2.3439,                 2.5703,                 1.8865,                0.03937,                  0.125,                0.01631,                0.00403,                0.05262,                0.16667,                0.01675,                0.00402,                 3.2399,                 5.1729,                 15.592,                 2.9359,               0.001287,               0.001287,               0.001287
                     38,                 2.3354,                 2.4246,                 2.5909,                 1.9371,                0.02155,                  0.125,                  0.011,                0.00303,                0.02877,                0.16667,                0.01256,                0.00331,                 3.2713,                 6.3154,                  21.77,                 3.1197,              0.0012672,              0.0012672,              0.0012672
                     39,                 2.3909,                 2.7378,                 2.6515,                 1.9891,                0.00918,                0.33333,                0.00473,                0.00143,                0.01185,                   0.25,                0.00532,                 0.0014,                 3.3536,                 6.9928,                 28.827,                 3.2611,              0.0012474,              0.0012474,              0.0012474
                     40,                 2.4466,                  2.624,                 2.6857,                 2.0812,                0.05624,                0.16667,                0.01833,                 0.0051,                0.05651,                0.16667,                  0.025,                0.00697,                 2.9517,                 4.4785,                 12.275,                 2.7731,              0.0012276,              0.0012276,              0.0012276
                     41,                 2.4872,                 3.0514,                 2.9035,                 2.0482,                0.08652,                0.16667,                0.02523,                0.00808,                0.12987,                0.20833,                0.04964,                0.01452,                 2.8841,                 3.4611,                 8.1783,                 2.7389,              0.0012078,              0.0012078,              0.0012078
                     42,                 2.2804,                 2.5184,                 2.7838,                 2.0037,                0.15366,                   0.25,                0.08714,                  0.019,                0.17986,                0.29167,                0.10348,                0.02926,                 2.6757,                 3.1978,                  8.557,                 2.5949,               0.001188,               0.001188,               0.001188
                     43,                 2.3284,                 2.8915,                 2.8617,                 2.0184,                0.07734,                0.20833,                0.05377,                0.01769,                0.14003,                   0.25,                0.11614,                0.03453,                 2.6352,                 2.9956,                 13.895,                 2.6221,              0.0011682,              0.0011682,              0.0011682
                     44,                 2.3045,                 2.6027,                 2.6551,                 1.8749,                0.18552,                0.20833,                0.12347,                  0.038,                0.14841,                0.16667,                0.11943,                0.03436,                 2.6465,                 3.0304,                 12.312,                 2.3471,              0.0011484,              0.0011484,              0.0011484
                     45,                 2.2459,                  2.471,                 2.5847,                 1.9214,                0.11866,                0.16667,                0.09208,                  0.022,                0.11866,                0.16667,                0.09523,                0.02398,                 2.7098,                 3.0008,                 9.3139,                 2.3539,              0.0011286,              0.0011286,              0.0011286
                     46,                 2.2765,                 2.4224,                 2.6675,                 2.0229,                0.17435,                0.16667,                0.08619,                0.02077,                0.17435,                0.16667,                0.08648,                0.02345,                  2.718,                 3.1916,                 9.5562,                 2.3894,              0.0011088,              0.0011088,              0.0011088
                     47,                 2.2237,                 2.7379,                  2.907,                 2.0183,                0.10884,                0.16667,                0.07504,                 0.0187,                0.11043,                0.20833,                0.07984,                0.01759,                 2.7388,                 3.3022,                 8.9181,                 2.3202,               0.001089,               0.001089,               0.001089
                     48,                 2.3119,                 2.5613,                 2.7931,                 1.9358,                0.05829,                0.20833,                0.06879,                0.01163,                0.08935,                   0.25,                0.07926,                0.01507,                 2.7241,                 3.4027,                 6.6634,                 2.4774,              0.0010692,              0.0010692,              0.0010692
                     49,                 2.2395,                 2.3139,                 2.6488,                 2.0101,                0.06022,                0.16667,                0.07824,                0.01608,                0.11539,                0.16667,                 0.0897,                0.02031,                 2.6573,                 3.2664,                 4.9139,                 2.4529,              0.0010494,              0.0010494,              0.0010494
                     50,                 2.1605,                 2.3606,                 2.6183,                 2.0189,                0.10623,                0.33333,                 0.1019,                0.02492,                0.13275,                0.29167,                0.11018,                0.02811,                 2.6792,                 3.3024,                 4.0559,                 2.5183,              0.0010295,              0.0010295,              0.0010295
                     51,                 2.1501,                 2.4834,                 2.5613,                 1.9303,                0.19635,                  0.125,                0.11151,                0.02848,                 0.1321,                0.33333,                0.11567,                0.04176,                 2.7564,                 3.3563,                 3.7428,                 2.5059,              0.0010097,              0.0010097,              0.0010097
                     52,                 2.2831,                 2.7399,                 2.5979,                  1.927,                0.14022,                0.08333,                0.08707,                0.02393,                0.09374,                   0.25,                0.09549,                0.03178,                 2.6937,                 3.3636,                 4.3871,                 2.5406,             0.00098993,             0.00098993,             0.00098993
                     53,                 2.1465,                 2.2943,                 2.4714,                 1.9014,                0.09831,                0.29167,                0.10108,                0.02845,                0.17083,                0.20833,                0.11907,                  0.036,                 2.6288,                 3.2641,                 4.7955,                 2.5453,             0.00097013,             0.00097013,             0.00097013
                     54,                 2.0468,                 2.1036,                 2.4413,                 1.9395,                 0.0947,                0.45833,                0.10639,                0.03398,                0.16326,                   0.25,                0.12059,                0.04425,                 2.6193,                 2.9992,                  4.746,                 2.4831,             0.00095032,             0.00095032,             0.00095032
                     55,                  2.158,                 2.2197,                 2.3288,                  1.865,                0.09265,                  0.375,                0.10189,                0.03323,                0.11733,                0.45833,                0.11523,                0.04258,                 2.6003,                  2.846,                 5.0981,                 2.4153,             0.00093052,             0.00093052,             0.00093052
                     56,                 2.0816,                 2.1695,                 2.2878,                 1.8957,                0.10032,                0.20833,                0.09378,                0.02848,                0.12255,                   0.25,                0.10814,                0.04089,                 2.6445,                 2.8514,                 5.6551,                 2.4334,             0.00091071,             0.00091071,             0.00091071
                     57,                 2.1861,                 2.5579,                 2.4737,                 1.9487,                0.12275,                0.16667,                0.09917,                0.03154,                0.22254,                0.16667,                0.11586,                0.04873,                 2.7231,                 2.7622,                  4.836,                 2.4178,             0.00089091,             0.00089091,             0.00089091
                     58,                 2.1537,                 2.0747,                 2.3856,                 1.8504,                0.28472,                0.16667,                0.12444,                0.04113,                0.28472,                0.16667,                0.14379,                0.06688,                 2.7943,                 2.6786,                 3.9672,                 2.3693,              0.0008711,              0.0008711,              0.0008711
                     59,                 2.1472,                 2.3445,                 2.4383,                 1.8907,                0.22778,                0.24595,                0.13906,                0.04239,                0.22369,                0.33333,                0.15651,                0.07539,                 2.7686,                 2.6607,                 3.5482,                 2.2558,              0.0008513,              0.0008513,              0.0008513
                     60,                 2.1441,                 2.5615,                 2.4576,                 1.8687,                0.21022,                0.29167,                0.15552,                0.05063,                 0.3498,                0.33333,                0.25586,                0.10103,                 2.9524,                 2.7412,                 3.1627,                 2.3655,             0.00083149,             0.00083149,             0.00083149
                     61,                  2.097,                 2.1788,                 2.4116,                 1.8767,                0.27321,                   0.25,                0.18104,                0.05096,                 0.3588,                0.41667,                0.24342,                0.08895,                 2.8543,                  2.662,                 3.3971,                 2.3222,             0.00081169,             0.00081169,             0.00081169
                     62,                 1.9776,                  2.145,                  2.332,                 1.8224,                0.38069,                0.16667,                0.17559,                0.05328,                0.23398,                0.41667,                0.21579,                0.07315,                 2.8502,                 2.6432,                 4.0971,                  2.359,             0.00079188,             0.00079188,             0.00079188
                     63,                 2.0155,                 2.2225,                 2.2012,                 1.7852,                  0.324,                0.16667,                0.14314,                0.04347,                 0.1624,                  0.375,                0.18104,                0.06181,                 2.9581,                 2.7384,                  3.433,                 2.4185,             0.00077208,             0.00077208,             0.00077208
                     64,                  1.916,                 2.3927,                 2.1255,                 1.7681,                0.13596,                   0.25,                0.14663,                0.03624,                 0.2318,                0.33333,                0.18711,                0.06108,                 2.9847,                 2.8965,                  3.143,                 2.4187,             0.00075227,             0.00075227,             0.00075227
                     65,                  2.154,                 2.3408,                 2.3059,                 1.7993,                0.18166,                   0.25,                 0.1325,                0.03499,                0.30032,                0.33333,                0.20203,                0.07077,                 2.9204,                  2.969,                 3.1119,                 2.4336,             0.00073247,             0.00073247,             0.00073247
                     66,                 1.9801,                 2.0079,                 2.1313,                 1.7058,                0.34673,                  0.375,                0.20532,                0.06064,                0.34673,                  0.375,                0.21499,                 0.0869,                 2.8847,                 2.9411,                 3.0614,                 2.4194,             0.00071266,             0.00071266,             0.00071266
                     67,                 2.0393,                 2.2694,                 2.3024,                 1.8958,                0.41168,                  0.375,                0.19563,                0.06017,                0.45442,                0.41646,                0.21212,                0.08616,                 2.8203,                 2.9323,                 3.0077,                 2.3446,             0.00069286,             0.00069286,             0.00069286
                     68,                 1.9701,                  2.242,                  2.379,                 1.7894,                0.27174,                    0.5,                0.17672,                0.05197,                 0.2995,                0.49884,                0.22292,                0.07977,                 2.7801,                  3.191,                 3.1816,                 2.3333,             0.00067305,             0.00067305,             0.00067305
                     69,                 2.0251,                 2.4847,                 2.3314,                 1.7337,                0.27166,                0.34213,                0.18798,                0.05697,                0.24869,                0.31755,                0.17826,                0.06603,                 2.7349,                 3.3708,                 3.3022,                 2.3522,             0.00065325,             0.00065325,             0.00065325
                     70,                 1.8072,                 2.1269,                 2.1006,                 1.7231,                0.32219,                0.41595,                0.21455,                0.05587,                0.26375,                  0.375,                0.20729,                0.06933,                 2.6795,                 3.2794,                 3.2989,                 2.3629,             0.00063344,             0.00063344,             0.00063344
                     71,                   1.85,                 2.0742,                  2.114,                 1.6873,                0.39007,                  0.375,                0.22578,                0.05669,                0.39007,                  0.375,                0.21923,                0.08659,                 2.6659,                 2.8823,                 3.0964,                 2.3395,             0.00061364,             0.00061364,             0.00061364
                     72,                 1.8223,                 2.1181,                 2.1471,                 1.7287,                0.42217,                  0.375,                0.26805,                0.06346,                0.43854,                  0.375,                0.28312,                0.10169,                 2.8447,                 2.7677,                 3.0279,                   2.36,             0.00059383,             0.00059383,             0.00059383
